REPORTED_DATE,CRIME_COUNT
2017-11-06,187
2017-11-07,173
2017-11-08,180
2017-11-09,170
2017-11-10,149
2017-11-11,158
2017-11-12,154
2017-11-13,174
2017-11-14,175
2017-11-15,175
2017-11-16,161
2017-11-17,206
2017-11-18,145
2017-11-19,153
2017-11-20,198
2017-11-21,180
2017-11-22,148
2017-11-23,95
2017-11-24,138
2017-11-25,130
2017-11-26,157
2017-11-27,234
2017-11-28,173
2017-11-29,188
2017-11-30,173
2017-12-01,182
2017-12-02,139
2017-12-03,177
2017-12-04,179
2017-12-05,156
2017-12-06,185
2017-12-07,172
2017-12-08,153
2017-12-09,152
2017-12-10,140
2017-12-11,180
2017-12-12,159
2017-12-13,186
2017-12-14,155
2017-12-15,186
2017-12-16,131
2017-12-17,143
2017-12-18,176
2017-12-19,179
2017-12-20,218
2017-12-21,128
2017-12-22,149
2017-12-23,117
2017-12-24,95
2017-12-25,67
2017-12-26,122
2017-12-27,177
2017-12-28,147
2017-12-29,148
2017-12-30,145
2017-12-31,136
2018-01-01,121
2018-01-02,165
2018-01-03,186
2018-01-04,187
2018-01-05,147
2018-01-06,149
2018-01-07,133
2018-01-08,195
2018-01-09,169
2018-01-10,182
2018-01-11,145
2018-01-12,171
2018-01-13,127
2018-01-14,134
2018-01-15,127
2018-01-16,184
2018-01-17,212
2018-01-18,185
2018-01-19,215
2018-01-20,148
2018-01-21,104
2018-01-22,183
2018-01-23,180
2018-01-24,175
2018-01-25,174
2018-01-26,193
2018-01-27,145
2018-01-28,137
2018-01-29,218
2018-01-30,199
2018-01-31,180
2018-02-01,177
2018-02-02,180
2018-02-03,148
2018-02-04,142
2018-02-05,191
2018-02-06,195
2018-02-07,188
2018-02-08,182
2018-02-09,189
2018-02-10,91
2018-02-11,94
2018-02-12,168
2018-02-13,145
2018-02-14,169
2018-02-15,171
2018-02-16,169
2018-02-17,152
2018-02-18,145
2018-02-19,129
2018-02-20,127
2018-02-21,152
2018-02-22,157
2018-02-23,172
2018-02-24,147
2018-02-25,113
2018-02-26,186
2018-02-27,164
2018-02-28,184
2018-03-01,194
2018-03-02,169
2018-03-03,140
2018-03-04,106
2018-03-05,162
2018-03-06,185
2018-03-07,192
2018-03-08,158
2018-03-09,171
2018-03-10,130
2018-03-11,143
2018-03-12,180
2018-03-13,193
2018-03-14,162
2018-03-15,160
2018-03-16,163
2018-03-17,141
2018-03-18,162
2018-03-19,186
2018-03-20,209
2018-03-21,174
2018-03-22,184
2018-03-23,181
2018-03-24,135
2018-03-25,141
2018-03-26,165
2018-03-27,185
2018-03-28,117
2018-03-29,166
2018-03-30,165
2018-03-31,142
2018-04-01,125
2018-04-02,183
2018-04-03,189
2018-04-04,181
2018-04-05,183
